id,lexeme,translation,note,source,license
stunde:1,stunde,час (как отрезок времени),,kaikki-ru,CC BY-SA 4.0
stunde:2,stunde,урок,,kaikki-ru,CC BY-SA 4.0
schueler:1,schueler,"ученик, школьник",,kaikki-ru,CC BY-SA 4.0
schueler:2,schueler,"ученик, последователь",,kaikki-ru,CC BY-SA 4.0
essen-noun:1,essen-noun,"неисч. пища, продукты питания",,kaikki-ru,CC BY-SA 4.0
essen-noun:2,essen-noun,"блюдо, кушанье",,kaikki-ru,CC BY-SA 4.0
essen-noun:3,essen-noun,"застолье, обед",,kaikki-ru,CC BY-SA 4.0
essen-noun:4,essen-noun,неисч. процесс приёма пищи,,kaikki-ru,CC BY-SA 4.0
essen-noun:5,essen-noun,"Эссен (город в ФРГ, в федеральной земле Северный Рейн-Вестфалия, рядом с Бонном, Кёльном и Дюссельдорфом)",,kaikki-ru,CC BY-SA 4.0
alt:1,alt,старый,,kaikki-ru,CC BY-SA 4.0
wir:1,wir,мы,,kaikki-ru,CC BY-SA 4.0
tomate:1,tomate,помидор,,kaikki-ru,CC BY-SA 4.0
riechen:1,riechen,"перех. обонять, слышать носом, чуять тж. перен.",,kaikki-ru,CC BY-SA 4.0
riechen:2,riechen,"перех. и неперех. нюхать, понюхать",,kaikki-ru,CC BY-SA 4.0
riechen:3,riechen,неперех. пахнуть тж. перен.,,kaikki-ru,CC BY-SA 4.0
riechen:4,riechen,неперех. вонять,,kaikki-ru,CC BY-SA 4.0
riechen:5,riechen,форма настоящего времени первого лица множественного числа изъявительного наклонения глагола riechen,,kaikki-ru,CC BY-SA 4.0
riechen:6,riechen,форма настоящего времени третьего лица множественного числа изъявительного наклонения глагола riechen,,kaikki-ru,CC BY-SA 4.0
billig:1,billig,"дешевый, недорогой",,kaikki-ru,CC BY-SA 4.0
billig:2,billig,справедливый,,kaikki-ru,CC BY-SA 4.0
tochter:1,tochter,дочь,,kaikki-ru,CC BY-SA 4.0
tochter:2,tochter,"экон.жарг. дочка, дочерняя компания, дочернее предприятие (сокр. от Tochtergesellschaft)",,kaikki-ru,CC BY-SA 4.0
sohn:1,sohn,сын,,kaikki-ru,CC BY-SA 4.0
vater:1,vater,отец,,kaikki-ru,CC BY-SA 4.0
vater:2,vater,"мн. ч. праотцы, предки",,kaikki-ru,CC BY-SA 4.0
vater:3,vater,"перен. отец, творец, создатель; инициатор, автор",,kaikki-ru,CC BY-SA 4.0
da:1,da,"тут, здесь",,kaikki-ru,CC BY-SA 4.0
da:2,da,там,,kaikki-ru,CC BY-SA 4.0
kurz:1,kurz,короткий (длина),,kaikki-ru,CC BY-SA 4.0
kurz:2,kurz,"короткий, краткий, непродолжительный; ненадолго (по времени)",,kaikki-ru,CC BY-SA 4.0
dies:1,dies,это,,kaikki-ru,CC BY-SA 4.0
laut:1,laut,"громкий, звонкий, звучный (о звуках)",,kaikki-ru,CC BY-SA 4.0
laut:2,laut,"шумный (об улице, о человеке)",,kaikki-ru,CC BY-SA 4.0
laut-prep:1,laut-prep,"согласно, по (чему-либо), в соответствии с (чем-либо)",,kaikki-ru,CC BY-SA 4.0
laut-adv:1,laut-adv,"громко, звонко, шумно",,kaikki-ru,CC BY-SA 4.0
sein:1,sein,"быть, существовать",,kaikki-ru,CC BY-SA 4.0
sein:2,sein,"быть, случаться, происходить, состояться",,kaikki-ru,CC BY-SA 4.0
sein:3,sein,"быть, находиться",,kaikki-ru,CC BY-SA 4.0
sein:4,sein,"происходить, быть родом (откуда-либо)",,kaikki-ru,CC BY-SA 4.0
sein:5,sein,"быть, являться (в функции связки в составном сказуемом)",,kaikki-ru,CC BY-SA 4.0
sein:6,sein,"в безличн. предлож. выражает состояние, настроение",,kaikki-ru,CC BY-SA 4.0
sein:7,sein,выражает долженствование или возможность,,kaikki-ru,CC BY-SA 4.0
sein:8,sein,"вспомогательный глагол, служащий для образования сложных временных форм; на русский язык отдельным словом не переводится",,kaikki-ru,CC BY-SA 4.0
sein:9,sein,его,,kaikki-ru,CC BY-SA 4.0
sein:10,sein,"(при указании на принадлежность подлежащему) свой (своя, своё, свои)",,kaikki-ru,CC BY-SA 4.0
bar-adv:1,bar-adv,устар. без,,kaikki-ru,CC BY-SA 4.0
bitter:1,bitter,горький,,kaikki-ru,CC BY-SA 4.0
gut:1,gut,"хороший, добрый, качественный",,kaikki-ru,CC BY-SA 4.0
gut-adv:1,gut-adv,хорошо,,kaikki-ru,CC BY-SA 4.0
tot:1,tot,"мёртвый (в разн. знач.); безжизненный, умерший",,kaikki-ru,CC BY-SA 4.0
abfahrt:1,abfahrt,"отъезд, отправление (начало движения)",,kaikki-ru,CC BY-SA 4.0
achtung:1,achtung,внимание,,kaikki-ru,CC BY-SA 4.0
achtung:2,achtung,"почтение, уважение",,kaikki-ru,CC BY-SA 4.0
bahn:1,bahn,железная дорога,,kaikki-ru,CC BY-SA 4.0
bahn:2,bahn,"поезд, трамвай",,kaikki-ru,CC BY-SA 4.0
bahn:3,bahn,"колея, перен. тж. русло, путь",,kaikki-ru,CC BY-SA 4.0
bahn:4,bahn,"физ., техн. колея, траектория",,kaikki-ru,CC BY-SA 4.0
bahn:5,bahn,спорт. дорожка,,kaikki-ru,CC BY-SA 4.0
bahn:6,bahn,стезя,,kaikki-ru,CC BY-SA 4.0
bahnhof:1,bahnhof,вокзал,,kaikki-ru,CC BY-SA 4.0
balkon:1,balkon,балкон,,kaikki-ru,CC BY-SA 4.0
banane:1,banane,банан,,kaikki-ru,CC BY-SA 4.0
bank:1,bank,"скамья, скамейка, лавка; парта; банка, банкетка",,kaikki-ru,CC BY-SA 4.0
bank:2,bank,"верстак, станок",,kaikki-ru,CC BY-SA 4.0
bank:3,bank,прилавок,,kaikki-ru,CC BY-SA 4.0
bank:4,bank,банк,,kaikki-ru,CC BY-SA 4.0
beamte:1,beamte,"чиновник; служащий; государственный служащий, должностное лицо",,kaikki-ru,CC BY-SA 4.0
bein:1,bein,нога (от таза до щиколотки),,kaikki-ru,CC BY-SA 4.0
bein:2,bein,ножка (какой-либо мебели),,kaikki-ru,CC BY-SA 4.0
bein:3,bein,кость,,kaikki-ru,CC BY-SA 4.0
beispiel:1,beispiel,пример,,kaikki-ru,CC BY-SA 4.0
beruf:1,beruf,"профессия, специальность",,kaikki-ru,CC BY-SA 4.0
beruf:2,beruf,"устар., высок. призвание",,kaikki-ru,CC BY-SA 4.0
bett:1,bett,"постель, кровать, койка",,kaikki-ru,CC BY-SA 4.0
alter:1,alter,возраст,,kaikki-ru,CC BY-SA 4.0
bier:1,bier,пиво (слабоалкогольный напиток),,kaikki-ru,CC BY-SA 4.0
bier:2,bier,"порция (кружка, стакан, бутылка) пива",,kaikki-ru,CC BY-SA 4.0
bild:1,bild,"картина, портрет, рисунок, изображение.",,kaikki-ru,CC BY-SA 4.0
bild:2,bild,"фотография, снимок, кадр. — Где были сделаны эти фотографии?",,kaikki-ru,CC BY-SA 4.0
birne:1,birne,груша (растение),,kaikki-ru,CC BY-SA 4.0
birne:2,birne,груша (плод),,kaikki-ru,CC BY-SA 4.0
birne:3,birne,голова,,kaikki-ru,CC BY-SA 4.0
birne:4,birne,лампочка,,kaikki-ru,CC BY-SA 4.0
bitte-noun:1,bitte-noun,"просьба, прошение, ходатайство (о чём-либо)",,kaikki-ru,CC BY-SA 4.0
blick:1,blick,взгляд,,kaikki-ru,CC BY-SA 4.0
blick:2,blick,вид на что-либо,,kaikki-ru,CC BY-SA 4.0
blume:1,blume,цветок,,kaikki-ru,CC BY-SA 4.0
blume:2,blume,"перен. поэт. цвет, венец",,kaikki-ru,CC BY-SA 4.0
blume:3,blume,"невинность, девственность, непорочность, чистота",,kaikki-ru,CC BY-SA 4.0
blume:4,blume,букет (вина),,kaikki-ru,CC BY-SA 4.0
blume:5,blume,пена (на пиве); первый глоток из бокала,,kaikki-ru,CC BY-SA 4.0
blume:6,blume,цветистое (витиеватое) выражение,,kaikki-ru,CC BY-SA 4.0
blume:7,blume,"хвост (зайца), кончик хвоста (лисы, волка)",,kaikki-ru,CC BY-SA 4.0
blume:8,blume,"тонкая пушистая шерсть, заячий пух",,kaikki-ru,CC BY-SA 4.0
blume:9,blume,оковалок (мясной туши),,kaikki-ru,CC BY-SA 4.0
blume:10,blume,кочан (цветной капусты),,kaikki-ru,CC BY-SA 4.0
blume:11,blume,"геол. выцветы, налёт минеральных солей",,kaikki-ru,CC BY-SA 4.0
bogen:1,bogen,лук оружие,,kaikki-ru,CC BY-SA 4.0
bogen:2,bogen,дуга,,kaikki-ru,CC BY-SA 4.0
bogen:3,bogen,лист бумаги и т. п.,,kaikki-ru,CC BY-SA 4.0
anfang:1,anfang,начало,,kaikki-ru,CC BY-SA 4.0
angebot:1,angebot,предложение,,kaikki-ru,CC BY-SA 4.0
angebot:2,angebot,экон. предложение: Количество и / или номенклатура товара,,kaikki-ru,CC BY-SA 4.0
angebot:3,angebot,"юр. оферта: Волеизъвление, выражающее окончательное и связывающее оферента предложение заключить договор",,kaikki-ru,CC BY-SA 4.0
ankunft:1,ankunft,"прибытие, приезд, приход",,kaikki-ru,CC BY-SA 4.0
brief:1,brief,"письмо, послание.",,kaikki-ru,CC BY-SA 4.0
brief:2,brief,"устар. грамота; документ, акт, удостоверение",,kaikki-ru,CC BY-SA 4.0
brief:3,brief,бирж. курс продавцов,,kaikki-ru,CC BY-SA 4.0
brief:4,brief,чековый курс,,kaikki-ru,CC BY-SA 4.0
brief:5,brief,фин. вексель,,kaikki-ru,CC BY-SA 4.0
brief:6,brief,фин. ценная бумага,,kaikki-ru,CC BY-SA 4.0
brief:7,brief,"пачка, конверт",,kaikki-ru,CC BY-SA 4.0
brief:8,brief,"образцы, узоры (для рукоделия)",,kaikki-ru,CC BY-SA 4.0
brief:9,brief,"диал. листок, газета",,kaikki-ru,CC BY-SA 4.0
briefmarke:1,briefmarke,почтовая марка,,kaikki-ru,CC BY-SA 4.0
anschluss:1,anschluss,(an A) подключение (к чему-л),,kaikki-ru,CC BY-SA 4.0
anschluss:2,anschluss,"соединение (телефон, транспорт)",,kaikki-ru,CC BY-SA 4.0
anschluss:3,anschluss,"(an A) присоединение (к кому-л, чему-л)",,kaikki-ru,CC BY-SA 4.0
anschluss:4,anschluss,истор. аншлюс,,kaikki-ru,CC BY-SA 4.0
ecke:1,ecke,угол; выступ,,kaikki-ru,CC BY-SA 4.0
ecke:2,ecke,матем. вершина угла,,kaikki-ru,CC BY-SA 4.0
ecke:3,ecke,матем. телесный угол,,kaikki-ru,CC BY-SA 4.0
ecke:4,ecke,кромка (материи),,kaikki-ru,CC BY-SA 4.0
ecke:5,ecke,залысина,,kaikki-ru,CC BY-SA 4.0
ecke:6,ecke,разг. кусок; отрезок (пути),,kaikki-ru,CC BY-SA 4.0
bruder:1,bruder,брат,,kaikki-ru,CC BY-SA 4.0
bruder:2,bruder,"перен. собрат, приятель, единомышленник",,kaikki-ru,CC BY-SA 4.0
bruder:3,bruder,"религ. брат (член религиозной общины), монах",,kaikki-ru,CC BY-SA 4.0
bruder:4,bruder,"разг., презр. тип, субъект",,kaikki-ru,CC BY-SA 4.0
fahrer:1,fahrer,"водитель (автомашины), шофёр",,kaikki-ru,CC BY-SA 4.0
fahrer:2,fahrer,вагоновожатый,,kaikki-ru,CC BY-SA 4.0
fahrer:3,fahrer,ездок; велосипедист; мотоциклист,,kaikki-ru,CC BY-SA 4.0
fahrkarte:1,fahrkarte,билет,,kaikki-ru,CC BY-SA 4.0
