id,lexeme,infinitive,pronoun,form,translation
de:feiern:praes.3sg:produce,feiern,feiern,er,feiert,праздновать
de:feiern:praes.1pl:produce,feiern,feiern,wir,feiern,праздновать
de:feiern:praes.2pl:produce,feiern,feiern,ihr,feiert,праздновать
de:fernsehen:praes.1sg:produce,fernsehen,fernsehen,ich,sehe fern,смотреть телевизор
de:fernsehen:praes.2sg:produce,fernsehen,fernsehen,du,siehst fern,смотреть телевизор
de:fernsehen:praes.3sg:produce,fernsehen,fernsehen,er,sieht fern,смотреть телевизор
de:fernsehen:praes.1pl:produce,fernsehen,fernsehen,wir,sehen fern,смотреть телевизор
de:fernsehen:praes.2pl:produce,fernsehen,fernsehen,ihr,seht fern,смотреть телевизор
de:finden:praes.1sg:produce,finden,finden,ich,finde,находить
de:finden:praes.2sg:produce,finden,finden,du,findest,находить
de:finden:praes.3sg:produce,finden,finden,er,findet,находить
de:finden:praes.1pl:produce,finden,finden,wir,finden,находить
de:finden:praes.2pl:produce,finden,finden,ihr,findet,находить
de:fliegen:praes.1sg:produce,fliegen,fliegen,ich,fliege,летать
de:fliegen:praes.2sg:produce,fliegen,fliegen,du,fliegst,летать
de:fliegen:praes.3sg:produce,fliegen,fliegen,er,fliegt,летать
de:fliegen:praes.1pl:produce,fliegen,fliegen,wir,fliegen,летать
de:fliegen:praes.2pl:produce,fliegen,fliegen,ihr,fliegt,летать
de:fragen:praes.1sg:produce,fragen,fragen,ich,frage,спрашивать
de:fragen:praes.2sg:produce,fragen,fragen,du,fragst,спрашивать
de:fragen:praes.3sg:produce,fragen,fragen,er,fragt,спрашивать
de:fragen:praes.1pl:produce,fragen,fragen,wir,fragen,спрашивать
de:fragen:praes.2pl:produce,fragen,fragen,ihr,fragt,спрашивать
de:fruehstuecken:praes.1sg:produce,fruehstuecken,frühstücken,ich,frühstücke,завтракать
de:fruehstuecken:praes.2sg:produce,fruehstuecken,frühstücken,du,frühstückst,завтракать
de:fruehstuecken:praes.3sg:produce,fruehstuecken,frühstücken,er,frühstückt,завтракать
de:fruehstuecken:praes.1pl:produce,fruehstuecken,frühstücken,wir,frühstücken,завтракать
de:fruehstuecken:praes.2pl:produce,fruehstuecken,frühstücken,ihr,frühstückt,завтракать
de:geben:praes.1sg:produce,geben,geben,ich,gebe,давать
de:geben:praes.1pl:produce,geben,geben,wir,geben,давать
de:geben:praes.2pl:produce,geben,geben,ihr,gebt,давать
de:gefallen:praes.1sg:produce,gefallen,gefallen,ich,gefalle,нравиться
de:gefallen:praes.2sg:produce,gefallen,gefallen,du,gefällst,нравиться
de:gefallen:praes.3sg:produce,gefallen,gefallen,er,gefällt,нравиться
de:gefallen:praes.1pl:produce,gefallen,gefallen,wir,gefallen,нравиться
de:gefallen:praes.2pl:produce,gefallen,gefallen,ihr,gefallt,нравиться
de:gehen:praes.1sg:produce,gehen,gehen,ich,gehe,идти
de:gehen:praes.2sg:produce,gehen,gehen,du,gehst,идти
de:gehen:praes.3sg:produce,gehen,gehen,er,geht,идти
de:gehen:praes.1pl:produce,gehen,gehen,wir,gehen,идти
de:gehen:praes.2pl:produce,gehen,gehen,ihr,geht,идти
de:gehoeren:praes.1sg:produce,gehoeren,gehören,ich,gehöre,принадлежать
de:gehoeren:praes.2sg:produce,gehoeren,gehören,du,gehörst,принадлежать
de:gehoeren:praes.3sg:produce,gehoeren,gehören,er,gehört,принадлежать
de:gehoeren:praes.1pl:produce,gehoeren,gehören,wir,gehören,принадлежать
de:gehoeren:praes.2pl:produce,gehoeren,gehören,ihr,gehört,принадлежать
de:gewinnen:praes.1sg:produce,gewinnen,gewinnen,ich,gewinne,выигрывать
de:gewinnen:praes.2sg:produce,gewinnen,gewinnen,du,gewinnst,выигрывать
de:gewinnen:praes.3sg:produce,gewinnen,gewinnen,er,gewinnt,выигрывать
de:gewinnen:praes.1pl:produce,gewinnen,gewinnen,wir,gewinnen,выигрывать
de:gewinnen:praes.2pl:produce,gewinnen,gewinnen,ihr,gewinnt,выигрывать
de:glauben:praes.1sg:produce,glauben,glauben,ich,glaube,полагать
de:glauben:praes.2sg:produce,glauben,glauben,du,glaubst,полагать
de:glauben:praes.3sg:produce,glauben,glauben,er,glaubt,полагать
de:glauben:praes.1pl:produce,glauben,glauben,wir,glauben,полагать
